     ,2025,2025,2025,2026,2026,2026,2026,2026,2026
,01/10/2025,01/11/2025,01/12/2025,01/01/2026,01/02/2026,01/03/2026,01/04/2026,01/05/2026,01/06/2026
,31/10/2025,30/11/2025,31/12/2025,31/01/2026,25/02/2026,26/03/2026,30/04/2026,31/05/2026,30/06/2026
Mês,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho
Investimento,"R$ 35,41","R$ 484,59","R$ 461,92","R$ 1.070,94","R$ 1.305,28","R$ 1.906,99","R$ 3.652,21","R$ 6.719,22","R$ 957,55"
Ticket Médio,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 2.384,23","R$ 1.365,00",#DIV/0!,#DIV/0!
Impressões,581,7.351,8.409,69.935,72.560,120.849,208.025,170.050,48.168
Sessões Gerais,0,0,0,0,0,0,0,0,0
Cliques Totais,27,438,512,1.668,1.478,2.309,5.295,5.390,1.544
Leads,9,172,231,909,188,647,1.718,1.474,329
MQL (Manual),0,0,0,0,0,72,258,220,7
SQL (Manual),0,0,0,0,0,7,9,16,0
Vendas (Manual),0,0,0,0,0,2,2,0,0
Receita Faturada (Manual),"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.768,45","R$ 2.730,00","R$ 0,00","R$ 0,00"
ROAS,"0,00","0,00","0,00","0,00","0,00","2,50","0,75","0,00","0,00"
Taxa de Conversão Leads(Clique->Lead),"33,33%","39,27%","45,12%","54,50%","12,72%","28,02%","32,45%","27,35%","21,31%"
,,,,,,,,,
Custo por Clique,"R$ 1,31","R$ 1,11","R$ 0,90","R$ 0,64","R$ 0,88","R$ 0,83","R$ 0,69","R$ 1,25","R$ 0,62"
,,,,,,,,,
Custo por Lead,"R$ 3,93","R$ 2,82","R$ 2,00","R$ 1,18","R$ 6,94","R$ 2,95","R$ 2,13","R$ 4,56","R$ 2,91"
Custo por MQL ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 26,49","R$ 14,16","R$ 30,54","R$ 136,79"
Custo por SQL,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 272,43","R$ 405,80","R$ 419,95",#DIV/0!
Custo por Compra,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 953,50","R$ 1.826,11",#DIV/0!,#DIV/0!
,,,,,,,,,
% Lead - MQL,"0,00%","0,00%","0,00%","0,00%","0,00%","11,13%","15,02%","14,93%","2,13%"
 % MQL - SQL,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"9,72%","3,49%","7,27%","0,00%"
% SQL - Vendas,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"28,57%","22,22%","0,00%",#DIV/0!
,,,,,,,,,
Investimento Meta,"R$ 35,41","R$ 484,59","R$ 461,92","R$ 1.070,94","R$ 1.305,28","R$ 1.906,99","R$ 3.652,21","R$ 4.095,92","R$ 957,55"
Impressões,581,7.351,8.409,69.935,72.560,120.849,208.025,170.050,48.168
Cliques,27,438,512,1.668,1.478,2.309,5.295,4.517,1.544
CTR,"4,65%","5,96%","6,09%","2,39%","2,04%","1,91%","2,55%","2,66%","3,21%"
Leads(Conversões),9,172,231,909,188,647,1.718,1.287,329
Taxa de Conversão(Clique->Lead),"33,33%","39,27%","45,12%","54,50%","12,72%","28,02%","32,45%","28,49%","21,31%"
,,,,,,,,,
Custo por Clique,"R$ 1,31","R$ 1,11","R$ 0,90","R$ 0,64","R$ 0,88","R$ 0,83","R$ 0,69","R$ 0,91","R$ 0,62"
Custo por Lead,"R$ 3,93","R$ 2,82","R$ 2,00","R$ 1,18","R$ 6,94","R$ 2,95","R$ 2,13","R$ 3,18","R$ 2,91"
,,,,,,,,,
,,,,,,,,,
Investimento Google,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.623,30","R$ 0,00"
Impressões,0,0,0,0,0,0,0,8.695,0
Cliques,0,0,0,0,0,0,0,873,0
CTR,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"10,04%",#DIV/0!
Leads(Conversões),0,0,0,0,0,0,0,187,0
Taxa de Conversão(Clique->Lead),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"21,42%",#DIV/0!
,,,,,,,,,
Custo por Clique,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 3,00",#DIV/0!
Custo por Lead,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"R$ 14,03",#DIV/0!
