,2025,2025,2025,2025
,01/02/2026,01/03/2026,01/04/2026,01/05/2026
,28/02/2026,31/03/2026,30/04/2026,31/05/2026
Mês,Fevereiro,Março,abril,maio
Plano de mídia,"R$ 8.500,00","R$ 11.500,00","R$ 10.000,00","R$ 10.000,00"
Investimento,"R$ 7.989,25","R$ 11.741,80","R$ 9.688,54","R$ 0,00"
Investimento ideal dia,"R$ 7.677,42","R$ 7.048,39","R$ 8.387,10","R$ 8.387,10"
Saldo mês,"R$ 510,75","-R$ 241,80","R$ 311,46","R$ 10.000,00"
Ticket Médio,"R$ 220,00","R$ 229,61","R$ 262,92",#DIV/0!
Impressões (ads) (M),3.626.484,4.245.518,4.364.532,0
CPM,"R$ 2,20","R$ 2,77","R$ 2,22",#DIV/0!
Cliques (ads) (M),"12.266,00","16.720,00","17.088,00","0,00"
CTR,"0,34%","0,39%","0,39%",#DIV/0!
Visitas (M),28.755,39.812,37.858,0
Compras Ads (M),472,639,588,0
Faturado Ads (M),"R$ 118.284,00","R$ 173.566,00","R$ 178.561,00","R$ 0,00"
ROAS Ads,"14,81","14,78","18,43",#DIV/0!
Compras (M),1056,1399,1201,0
Receita Faturada Plataforma (M),"R$ 232.319,00","R$ 321.229,00","R$ 315.770,30","R$ 0,00"
ROAS Geral,"29,08","27,36","32,59",#DIV/0!
Acos,"6,75%","6,77%","5,43%",#DIV/0!
Taxa de Conversão,"3,67%","3,51%","3,17%",#DIV/0!
Margem Operacional,10%,10%,10%,10%
ROI DIRETO,"37,35","51,56","50,42",#DIV/0!
ROIM,"1,66","1,81","2,01","0,00"
ROI,"0,66","0,81","1,01","-1,00"
Crescimento mês a mês %,#REF!,#REF!,#REF!,#REF!
,,,,
,,,,
Custo por Compra ,"R$ 7,57","R$ 8,39","R$ 8,07",#DIV/0!
Custo por Clique ,"R$ 0,65","R$ 0,70","R$ 0,57",#DIV/0!
Custo por Sessão,"R$ 0,28","R$ 0,29","R$ 0,26",#DIV/0!
,,,,
