Ano,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026
,01/01/2024,01/02/2024,01/03/2024,01/04/2024,01/05/2024,01/06/2024,01/07/2024,01/08/2024,01/09/2024,01/10/2024,01/11/2024,01/12/2024,01/01/2025,01/02/2025,01/03/2025,01/04/2025,01/05/2025,01/06/2025,01/07/2025,01/08/2025,01/09/2025,01/10/2025,01/11/2025,01/12/2025,01/01/2026,01/02/2026,01/03/2026,01/04/2026,01/05/2026,01/06/2026
,31/01/2024,29/02/2024,31/03/2024,30/04/2024,31/05/2024,30/06/2024,31/07/2024,31/08/2024,30/09/2024,31/10/2024,30/11/2024,31/12/2024,31/01/2025,28/02/2025,31/03/2025,30/04/2025,31/05/2025,30/06/2025,31/07/2025,31/08/2025,30/09/2025,31/10/2025,30/11/2025,31/12/2025,31/01/2026,28/02/2026,28/03/2026,26/04/2026,31/05/2026,30/06/2026
Mês,Janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,Janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho
Investimento,"R$ 1.490,70","R$ 4.378,12","R$ 3.361,60","R$ 3.291,89","R$ 4.164,59","R$ 4.288,16","R$ 4.623,56","R$ 3.890,43","R$ 2.482,06","R$ 1.364,94","R$ 0,00","R$ 0,00","R$ 2.922,34","R$ 3.965,48","R$ 8.443,25","R$ 4.665,45","R$ 3.741,29","R$ 7.572,36","R$ 7.084,29","R$ 7.008,10","R$ 6.870,94","R$ 5.910,95","R$ 6.081,27","R$ 5.186,84","R$ 4.913,99","R$ 6.708,03","R$ 5.717,58","R$ 5.327,40","R$ 7.159,46","R$ 5.540,74"
Ticket Médio,"R$ 33.800,00","R$ 39.266,67","R$ 32.900,00","R$ 27.400,00","R$ 21.425,00","R$ 43.059,09","R$ 35.533,33","R$ 48.638,89","R$ 35.908,21","R$ 47.367,22","R$ 20.105,50","R$ 81.000,71","R$ 10.050,00","R$ 40.792,86","R$ 48.616,67","R$ 52.411,11","R$ 51.916,00","R$ 39.040,00","R$ 39.317,00","R$ 19.955,56","R$ 34.116,67","R$ 38.209,00","R$ 33.127,08","R$ 30.887,50","R$ 43.825,00","R$ 56.314,29","R$ 41.304,55","R$ 26.093,08","R$ 34.458,33","R$ 39.645,24"
Impressões,328.089,718.285,460.833,421.007,444.985,438.527,575.477,420.349,232.569,156.406,0,0,217.549,269.418,599.173,349.073,234.706,536.967,441.921,549.032,499.690,454.283,460.559,777.353,770.802,792.522,366.607,329.881,361.374,289.501
Cliques Totais,1.325,3.888,3.196,3.287,3.804,4.029,4.253,3.426,3.011,2.025,0,0,3.533,4.142,7.719,5.194,4.071,7.495,6.820,7.737,7.682,7.278,7.219,22.388,24.406,14.016,5.428,5.125,6.008,1.516
Leads,352,342,373,388,439,459,413,514,581,646,515,412,511,621,731,1.109,829,1.207,1.050,1.175,1.166,1.087,1.093,709,716,882,695,726,809,766
MQL (bd Leads),16,20,36,55,45,70,48,81,69,108,102,66,68,110,59,133,45,99,146,211,327,93,140,66,102,83,131,100,146,109
SQL (bd Leads),29,36,48,53,40,50,52,57,53,56,28,15,21,20,75,17,26,40,48,58,117,38,37,39,21,32,38,51,69,43
Vendas (bd Leads),1,3,3,9,14,11,12,9,19,18,10,7,6,7,6,9,5,11,10,9,12,10,12,8,4,7,11,13,12,21
Receita Faturada (vendas V4),"R$ 33.800,00","R$ 117.800,00","R$ 98.700,00","R$ 246.600,00","R$ 299.950,00","R$ 473.650,00","R$ 426.400,00","R$ 437.750,00","R$ 682.256,00","R$ 852.610,00","R$ 201.055,00","R$ 567.005,00","R$ 60.300,00","R$ 285.550,00","R$ 291.700,00","R$ 471.700,00","R$ 259.580,00","R$ 429.440,00","R$ 393.170,00","R$ 179.600,00","R$ 409.400,00","R$ 382.090,00","R$ 397.525,00","R$ 247.100,00","R$ 175.300,00","R$ 394.200,00","R$ 454.350,00","R$ 339.210,00","R$ 413.500,00","R$ 832.550,00"
VGV,"R$ 1.588.060,00","R$ 2.393.385,00","R$ 3.416.779,00","R$ 3.266.703,00","R$ 2.882.771,00","R$ 2.452.425,00","R$ 2.461.684,00","R$ 2.071.450,00","R$ 2.256.689,00","R$ 2.063.042,00","R$ 2.064.875,00","R$ 814.330,00","R$ 1.164.678,00","R$ 1.163.460,00","R$ 1.014.249,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
ROAS,"22,67","26,91","29,36","74,91","72,02","110,46","92,22","112,52","274,87","624,65",#DIV/0!,#DIV/0!,"20,63","72,01","34,55","101,10","69,38","56,71","55,50","25,63","59,58","64,64","65,37","47,64","35,67","58,77","79,47","63,67","57,76","150,26"
Custo por Clique,"R$ 1,13","R$ 1,13","R$ 1,05","R$ 1,00","R$ 1,09","R$ 1,06","R$ 1,09","R$ 1,14","R$ 0,82","R$ 0,67",#DIV/0!,#DIV/0!,"R$ 0,83","R$ 0,96","R$ 1,09","R$ 0,90","R$ 0,92","R$ 1,01","R$ 1,04","R$ 0,91","R$ 0,89","R$ 0,81","R$ 0,84","R$ 0,23","R$ 0,20","R$ 0,48","R$ 1,05","R$ 1,04","R$ 1,19","R$ 3,65"
